,0,1
0,b'Peach Bowl',430.4814999170399
1,b'Juan Per\xc3\xb3n',385.5635190217392
2,b'Ace Attorney',1342.9151138716354
3,b'Entertainment Weekly',637.7072631190856
4,b'Grand Slam',1196.068596717684
5,b'Civil War',327.32395725914387
6,b'World War',299.91954402113436
7,b'Rolling Stone',2837.47040328093
8,b'Liu Kang',3157.948822463768
9,b'Tropical Depression',698.8450053871018
10,b'Light Horse',1329.6698383228902
11,b'War II',154.87981968713038
12,b'18th century',145.25124976124454
13,b'NY 38',517.918355125262
14,b'West End',123.38032608695654
15,b'tropical cyclone',343.5529661016949
16,b'South Africa',174.8323450134771
17,b'noisy miner',2103.983317886932
18,b'Krak des',1307.3882590073065
19,b'World Cup',156.2846059321013
20,b'Lady Rosebery',238.3960599823581
21,b'Formula One',369.9623032848513
22,b'FA Cup',359.05893641362513
23,"b""don 't""",667.6650126689188
24,"b""O 'Malley""",629.8232764599807
25,b'Eva Per\xc3\xb3n',186.30170036764707
26,b'Air Force',631.6227715355806
27,"b""O 'Brien""",1150.729745712596
28,b'\xc2\xb0 C',447.70967399384085
29,b'Missouri River',233.00151121020684
30,b'For example',140.42238127415027
31,b'\xe2\x80\x99 t',177.41812711251782
32,b'Northern Ireland',235.57229270247592
33,b'20th century',294.0505111068864
34,"b""doesn 't""",243.47897897897897
35,"b""wasn 't""",264.4685461323392
36,b'Lock Haven',3202.536413330982
37,b'Star Trek',618.723052464229
38,b'Football League',326.27162977867204
39,b'km /',155.05110624589736
40,b'Super Mario',515.6025437201909
41,b'North Carolina',194.60461705142095
42,b'New Jersey',201.04653348531207
43,b'Mega Man',854.2753831417625
44,b'Kingdom Hearts',595.2377608426764
45,b'Final Fantasy',887.222643097643
46,b'Hot 100',270.3161658936614
47,b'New Zealand',413.25891978896544
48,b'North America',239.9675212565717
49,b'World Tour',142.35924681379228
50,b'Prime Minister',1527.886436895611
51,b'San Francisco',563.9589612798516
52,b'common starling',165.46632653061224
53,b'Critical reception',318.9712318662405
54,b'des Chevaliers',1601.5506172839505
55,b'no longer',183.18701210444328
56,b'Premier League',405.4637729288351
57,b'yard line',156.17046548956662
58,b'\xe2\x80\x99 s',954.8501033057851
59,b'Los Angeles',2897.8168279970214
60,b'long tons',169.57594771241827
61,b'Van Morrison',803.2544891640866
62,b'Billboard Hot',489.3626886145404
63,b'/ h',430.6808317316093
64,b'Mortal Kombat',3950.895190086116
65,b'Rio de',426.790368679703
66,b'Grand Prix',173.04822250383512
67,b'NC State',527.1389460317461
68,b'Soviet Union',274.4602550927885
69,b'Blue Jackets',300.2907407407407
70,b'United States',510.920217119352
71,b'Yue Fei',1527.2772317772317
72,b'Braathens SAFE',2910.706660368446
73,b'New York',344.80403593132
74,"b""I 'm""",200.87496075819413
75,b'\xc2\xb0 F',511.3346472211273
76,b'Waterfall Gully',1295.8162042175359
77,b'Link Road',432.59170334800586
78,b'Virginia Tech',753.392154284462
79,b'tropical depression',195.41544860830356
80,b'tropical storm',267.81764769588995
81,b'19th century',311.3515293660149
82,b'Little Rock',185.81526498874564
83,b'United Kingdom',195.44311738105066
84,b'Viet Cong',2690.3876319758674
85,b'science fiction',334.2294744074201
86,b'National Forest',120.15052721573097
87,b'R &',576.3386646356944
88,b'Aston Villa',1236.0923207227556
89,b'Singles Chart',635.553751399776
90,b'2nd Battalion',166.13382852020234
91,b'Florida Atlantic',259.91432006119993
92,b'Garc\xc3\xada M\xc3\xa1rquez',2924.8477453580904
93,b'positive reviews',493.54953944733677
94,b'machine gun',175.74422542843595
95,b'Dota 2',149.08480771386928
96,b'Film Festival',246.18977732793522
97,b'Corpus Christi',735.40589569161
98,b'rather than',220.48858594679496
99,b'Royal Navy',147.78491683754842
100,b'gold dollar',238.97135488624852
101,b'Tropical Storm',1229.8424157303373
102,b'High School',264.3453656264555
103,b'Guitar Hero',1780.4998440326906
104,b'Plunketts Creek',1112.1292534951199
105,"b""didn 't""",559.0078599007171
106,b'Recording Industry',202.72792623847477
